                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.59677,                0.44609,                 1.0813,                 0.9883,                0.98735,                0.99274,                0.92669,                0.46073,                0.25459,                0.91463,               0.006535,               0.006535,               0.006535
                     38,                0.59617,                0.44362,                 1.0805,                0.98859,                0.98761,                0.99278,                0.92732,                0.45863,                0.25333,                0.91258,               0.006436,               0.006436,               0.006436
                     39,                0.59162,                0.44014,                 1.0789,                0.98831,                  0.988,                0.99293,                0.92793,                0.45702,                0.25253,                0.91089,               0.006337,               0.006337,               0.006337
                     40,                0.58911,                0.43435,                 1.0762,                0.98801,                0.98849,                0.99287,                0.92852,                0.45538,                 0.2513,                0.90923,               0.006238,               0.006238,               0.006238
                     41,                0.58636,                0.43526,                 1.0756,                 0.9884,                0.98897,                0.99283,                0.92901,                0.45334,                0.24997,                0.90741,               0.006139,               0.006139,               0.006139
                     42,                0.58496,                0.43267,                 1.0734,                0.98827,                0.98907,                0.99291,                0.92938,                0.45093,                 0.2493,                0.90525,                0.00604,                0.00604,                0.00604
                     43,                 0.5692,                0.41574,                 1.0649,                0.98857,                0.98936,                0.99309,                0.93131,                0.44849,                0.24769,                0.90306,               0.005941,               0.005941,               0.005941
                     44,                0.57807,                0.42584,                 1.0706,                0.98924,                0.98926,                0.99316,                0.93182,                0.44684,                0.24706,                0.90135,               0.005842,               0.005842,               0.005842
                     45,                0.58164,                0.42909,                 1.0724,                0.98925,                0.98863,                0.99299,                0.93167,                0.44597,                0.24673,                0.90046,               0.005743,               0.005743,               0.005743
                     46,                0.57777,                0.42448,                 1.0702,                0.98948,                0.98858,                0.99313,                0.93258,                0.44412,                 0.2459,                0.89863,               0.005644,               0.005644,               0.005644
                     47,                0.57799,                 0.4254,                 1.0703,                0.98944,                0.98907,                0.99322,                0.93379,                0.44287,                0.24542,                0.89755,               0.005545,               0.005545,               0.005545
                     48,                0.57404,                0.42204,                 1.0677,                0.98953,                0.98907,                0.99318,                0.93438,                0.44129,                0.24513,                0.89613,               0.005446,               0.005446,               0.005446
                     49,                0.56877,                0.41909,                 1.0647,                0.98993,                0.98893,                0.99305,                0.93482,                0.44016,                0.24448,                0.89524,               0.005347,               0.005347,               0.005347
                     50,                0.57036,                0.41874,                 1.0655,                0.98972,                0.98876,                0.99316,                0.93542,                0.43871,                0.24356,                0.89358,               0.005248,               0.005248,               0.005248
                     51,                0.56774,                0.41577,                 1.0642,                0.99003,                0.98852,                0.99327,                0.93612,                0.43719,                0.24262,                 0.8921,               0.005149,               0.005149,               0.005149
                     52,                0.56615,                0.41454,                 1.0621,                0.99016,                0.98894,                0.99336,                0.93696,                0.43595,                0.24153,                0.89097,                0.00505,                0.00505,                0.00505
                     53,                0.56349,                0.41267,                 1.0608,                0.99042,                0.98893,                0.99346,                0.93778,                 0.4344,                0.24121,                0.88953,               0.004951,               0.004951,               0.004951
                     54,                0.56142,                   0.41,                 1.0604,                0.98995,                0.98967,                0.99356,                  0.939,                0.43271,                0.24008,                0.88803,               0.004852,               0.004852,               0.004852
                     55,                0.55864,                0.40735,                 1.0584,                0.98944,                0.99035,                0.99364,                 0.9392,                 0.4315,                0.23918,                0.88697,               0.004753,               0.004753,               0.004753
                     56,                0.55529,                0.40682,                 1.0556,                0.98905,                 0.9908,                 0.9937,                0.93938,                0.42965,                0.23853,                 0.8854,               0.004654,               0.004654,               0.004654
                     57,                0.55174,                0.40146,                 1.0538,                0.98989,                0.99043,                0.99369,                0.93951,                0.42778,                0.23789,                0.88357,               0.004555,               0.004555,               0.004555
                     58,                0.55303,                0.40294,                 1.0549,                0.98919,                0.99123,                0.99379,                0.93971,                0.42597,                0.23701,                0.88149,               0.004456,               0.004456,               0.004456
                     59,                0.54855,                0.39712,                 1.0511,                0.98978,                0.99074,                0.99381,                 0.9403,                 0.4244,                0.23577,                0.88014,               0.004357,               0.004357,               0.004357
                     60,                0.54673,                0.39665,                 1.0514,                0.98966,                0.99095,                0.99386,                0.94087,                0.42274,                0.23509,                0.87893,               0.004258,               0.004258,               0.004258
                     61,                0.54325,                  0.394,                 1.0483,                0.99048,                 0.9901,                0.99386,                0.94105,                0.42101,                0.23358,                0.87746,               0.004159,               0.004159,               0.004159
                     62,                0.54103,                0.39182,                 1.0479,                0.99021,                0.99112,                 0.9939,                0.94176,                0.41935,                0.23244,                0.87619,                0.00406,                0.00406,                0.00406
                     63,                0.53747,                0.39035,                 1.0466,                0.99088,                0.99104,                0.99393,                0.94202,                 0.4174,                0.23164,                0.87478,               0.003961,               0.003961,               0.003961
                     64,                    inf,                0.38588,                 1.0439,                0.99059,                0.99158,                0.99395,                0.94285,                 0.4151,                0.23035,                0.87317,               0.003862,               0.003862,               0.003862
                     65,                0.53384,                0.38349,                 1.0422,                0.98983,                0.99192,                0.99397,                0.94351,                 0.4133,                0.22934,                0.87206,               0.003763,               0.003763,               0.003763
                     66,                0.53024,                0.38126,                 1.0417,                0.99023,                0.99202,                  0.994,                0.94379,                0.41172,                0.22845,                0.87053,               0.003664,               0.003664,               0.003664
                     67,                0.52559,                0.38021,                 1.0404,                 0.9905,                0.99168,                0.99398,                0.94434,                0.40987,                 0.2272,                0.86875,               0.003565,               0.003565,               0.003565
                     68,                0.52342,                0.37588,                 1.0378,                0.99064,                0.99191,                0.99395,                0.94478,                  0.408,                0.22685,                0.86731,               0.003466,               0.003466,               0.003466
                     69,                0.51952,                0.37284,                 1.0353,                0.99056,                0.99195,                0.99401,                0.94527,                0.40616,                0.22575,                0.86576,               0.003367,               0.003367,               0.003367
                     70,                0.51448,                0.36888,                 1.0331,                0.99178,                0.99122,                0.99396,                0.94588,                0.40432,                0.22468,                0.86416,               0.003268,               0.003268,               0.003268
                     71,                0.51416,                0.36751,                  1.033,                0.99119,                0.99195,                0.99401,                0.94663,                0.40235,                0.22356,                0.86265,               0.003169,               0.003169,               0.003169
                     72,                0.50853,                0.36452,                 1.0297,                0.99161,                0.99168,                0.99404,                0.94706,                0.40025,                0.22276,                0.86095,                0.00307,                0.00307,                0.00307
                     73,                0.50952,                0.36194,                 1.0293,                0.99122,                0.99229,                0.99412,                0.94781,                0.39806,                 0.2218,                0.85916,               0.002971,               0.002971,               0.002971
