               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025864,            0.013407,           0.0031112,             0.97628,             0.97034,             0.98642,             0.83242,            0.015189,           0.0038301,          0.00014175,            0.006535,            0.006535,            0.006535
                  37,            0.025836,            0.013425,            0.003266,             0.97619,             0.96965,             0.98649,             0.83343,            0.015096,           0.0038265,          0.00014055,            0.006436,            0.006436,            0.006436
                  38,            0.025659,            0.013354,           0.0032103,             0.97666,             0.97031,             0.98672,             0.83419,            0.015016,           0.0038225,          0.00014048,            0.006337,            0.006337,            0.006337
                  39,            0.025373,            0.013231,           0.0029948,             0.97414,             0.97239,             0.98698,             0.83527,            0.014937,           0.0038199,          0.00014311,            0.006238,            0.006238,            0.006238
                  40,             0.02553,            0.013254,           0.0030531,             0.97557,             0.97112,             0.98712,             0.83599,             0.01489,           0.0038132,          0.00014021,            0.006139,            0.006139,            0.006139
                  41,            0.025296,            0.013082,           0.0029417,             0.97711,             0.97049,             0.98734,             0.83699,            0.014827,           0.0038059,          0.00013582,             0.00604,             0.00604,             0.00604
                  42,            0.025099,            0.013109,           0.0030691,             0.97911,             0.96925,             0.98746,              0.8387,            0.014764,              0.0038,          0.00013186,            0.005941,            0.005941,            0.005941
                  43,            0.025119,            0.013079,           0.0029392,             0.97902,             0.96936,             0.98749,             0.83973,            0.014723,           0.0037976,          0.00012704,            0.005842,            0.005842,            0.005842
                  44,             0.02497,            0.013059,           0.0030032,             0.97979,             0.97029,              0.9877,             0.84068,            0.014675,           0.0037945,          0.00012286,            0.005743,            0.005743,            0.005743
                  45,             0.02496,            0.012984,           0.0028133,             0.97774,             0.97157,             0.98775,             0.84202,             0.01464,           0.0037895,          0.00012178,            0.005644,            0.005644,            0.005644
                  46,            0.024788,            0.012913,           0.0027377,             0.97815,             0.97268,             0.98796,             0.84278,            0.014585,           0.0037883,          0.00012004,            0.005545,            0.005545,            0.005545
                  47,            0.024542,            0.012806,           0.0027734,             0.97797,             0.97256,             0.98821,             0.84368,            0.014528,           0.0037831,          0.00011784,            0.005446,            0.005446,            0.005446
                  48,            0.024586,            0.012867,           0.0028362,             0.97821,             0.97352,             0.98851,               0.846,            0.014484,           0.0037793,          0.00011328,            0.005347,            0.005347,            0.005347
                  49,            0.024561,            0.012794,            0.002807,             0.97708,              0.9754,             0.98848,             0.84641,            0.014439,           0.0037701,           0.0001088,            0.005248,            0.005248,            0.005248
                  50,            0.024557,            0.012792,           0.0026077,             0.97767,             0.97528,              0.9888,             0.84844,            0.014381,           0.0037629,          0.00010495,            0.005149,            0.005149,            0.005149
                  51,            0.024327,            0.012747,            0.002824,             0.97878,             0.97423,             0.98889,             0.84946,            0.014313,           0.0037544,           0.0001026,             0.00505,             0.00505,             0.00505
